IP位址在中山区要不要查而已；尤其是鱼缸放毒藻已死了好几缸的鱼，前天、大前天到花莲去做庙的祭拜。一年来伤害研发者的所有设备·生灵，何辜…·如果你心爱的狗也接受如此待遇你可以接受吗？每天勤换水清缸让鱼能够活得开心长大，竟然还是进来，我有录影存证，侵入者不敢放太多的毒物，就直接把充氧的打气的管子拿掉形成虹吸原理，让鱼被吸进去卡在里面死亡，我相信这些一年来的'] 1.0 30 None 0
78 ['用心布局挡、霸凌二年，架空本人手机，一直被退出断所有连络人，伪造一切，伪故事、伪法案、伪代理、截手机照片图改变再告发勒索？入侵帐户、转走钱、开走车，安排伪员工作乱、入侵家、公司破坏，拿走公司硬碟、截走111年3/25前法院通知书，自导自演？警员不出示证件来公司灭证、一群人依旧监控、破坏，来去自如？无法可管？人民保障？必须等到大家帐户钱不见？寄来小孩、孙子手指？才要重视？??这不是商业竞争，这是没有人性的土匪，持续抢夺、霸凌、伤害谁在护？姑息？在江湖上也不是这样做的，每个人都有父母亲有家人，伤一个帮助过你'] 1.0 24 None 0
78 ['用心布局挡、霸凌二年，架空本人手机，一直被退出断所有连络人，伪造一切，伪故事、伪法案、伪代理、截手机照片图改变再告发勒索？入侵帐户、转走钱、开走车，安排伪员工作乱、入侵家、公司破坏，拿走公司硬碟、截走111年3/25前法院通知书，自导自演？警员不出示证件来公司灭证、一群人依旧监控、破坏，来去自如？无法可管？人民保障？必须等到大家帐户钱不见？寄来小孩、孙子手指？才要重视？??这不是商业竞争，这是没有人性的土匪，持续抢夺、霸凌、伤害谁在护？姑息？在江湖上也不是这样做的，每个人都有父母亲有家人，伤一个帮助过你'] 1.0 24 None 0
78 ['又一直截图改变群发！??真害?盗图、截图、改变图、告发再勒索，一张图40万，如果是你父母、小孩怎办？怎么来都不知道？姑息；寄一根小孩手指、或一颗肾脏勒索你怎么办？'] 0.999 18 None 0
78 ['自导自演一切，伪造头壳坏掉的故事、孤立再消灭入侵帐户、转走钱、盗刷信卡、截走法院通知书、帐单、受话记录。伪代理人、伪法案、截图改变再勒索？无人性消灭，再姑息；就换我们下一代…一根手指、一颗肾脏勒索？'] 1.0 36 None 0
78 ['DrJ20年简香兰人体自然科医研发中心/数据会说话/经3上特殊案例/等待是责任、更是…一份深深的爱。。预约体验专线：022779024109585253290987365349/忠孝复兴2号出口。三高、各式酸痛、睡眠…人体穴位+防疫草本=宇宙能量、绿色革命??医生；不是高级工匠、老了退休？不能巡店收钱就好？医生娘任务?生技；没有新开发，走下坡？电子；AI+人体晶片+医+机器人+…·薬厂；传统处方，无法供养烧钱研发人员？恶性竞争？没利润？阵亡？饭店；疫情，少了大量旅客？卖便当平衡？等都更？收购？医美；竞争'] 0.027 22 None 0
78 ['二年连续侵权、霸凌；入侵手机、监控、架空本人，伪编精神问题故事，孤立再消灭？截你手机照片改变，告个资外泄，再勒索？入侵帐户、家、公司作乱、破坏、伪造一切、报案即沈大海姑息；只是等著接下一代、手指、一颗肾再勒索？因为养大了魔鬼？'] 1.0 24 None 0
78 ['@香兰简20年DrJ研发中心0227790241'] 0.001 21 None 0
78 ['DrJ20年简香兰人体自然科医研发中心/数据会说话/经3上特殊案例/等待是责任、更是…一份深深的爱。。预约体验专线：022779024109585253290987365349/忠孝复兴2号出口。三高、各式酸痛、睡眠…人体穴位+防疫草本=宇宙能量、绿色革命??医生；不是高级工匠、老了退休？不能巡店收钱就好？医生娘任务?生技；没有新开发，走下坡？电子；AI+人体晶片+医+机器人+…·薬厂；传统处方，无法供养烧钱研发人员？恶性竞争？没利润？阵亡？饭店；疫情，少了大量旅客？卖便当平衡？等都更？收购？医美；竞争'] 0.027 22 None 0
78 ['研发本是烧钱…??20年坚持、一个人不顾父母反对的执着一份责任，一个承诺；更是在20年前重病时，下跪向上天祈求??许下的大愿…排除万难；不被万难排除。以后；就是植入晶片控制战了，脑控你，远端即可操控、元首、重要人士…··超乎大家想像；一把好刀，晶片、可以煮出家人感受到爱的温暖…·远端操控、也可以你全部归零，你痛不欲生…然后截取你手机图片改变告发，高价变相勒索？姑息、帮忙；再来就是接孩子、孙子一节手指、一颗肾的无价勒索了？'] 1.0 40 None 0
78 ['Now追踪我的路径…·'] 0.998 21 None 0
78 ['DrJ20年简香兰人体自然科医研发中心/数据会说话/经3上特殊案例/等待是责任、更是…一份深深的爱。。预约体验专线：0227790241095852532909873653490987365349/忠孝复兴2号出口。三高、各式酸痛、睡眠…人体穴位+防疫草本=宇宙能量、绿色革命??医生；不是高级工匠、老了退休？不能巡店收钱就好？医生娘任务?生技；没有新开发，走下坡？电子；AI+人体晶片+医+机器人+…·薬厂；传统处方，无法供养烧钱研发人员？恶性竞争？没利润？阵亡？饭店；疫情，少了大量旅客？卖便当平衡？等都'] 0.022 22 None 0
78 ['正常自己删、收回及被电信、电脑远端操控入侵异常截走、挡图。比一比、可以操作看看，有很大不同…·'] 0.994 21 None 0
78 ['正常自己删、收回及被电信、电脑远端操控入侵异常截走、挡图。比一比、可以操作看看，有很大不同…·'] 0.994 21 None 0
78 ['问google：手机图档、照片发给律师、司法、长官…盖上个资、脸部、为何又呈现？回：智能手机/编辑+回复即可·??'] 0.995 29 None 0
78 ['求证司法：大多数长官认为；截图证据应标示清楚，才能让人了解，此张图是专利?或是入侵？不浪费法官厘清事实询问时间。???'] 0.965 49 None 0
78 ['二年来；不断，电脑、电信入侵…·架空、伪所欲为？??'] 0.988 46 None 0
78 ['电信、电脑入侵霸凌阴陷害2年，入侵家、公司破坏石沈大海却可以一直收到盗图、改图三天一法案？变向告发勒索？人民安全保障？'] 0.986 30 None 0
78 ['二年电信、电脑霸凌阴陷害团队；截图、改图，架空本人手机、转走帐款、盗刷信用卡、轮流不断改相图告发再索费？人民安全保障？下一个柬埔寨？'] 0.999 30 None 0
78 ['手机前，架空本人，伪所欲为二年，截相簿图改变再告发，三天一法案，重复轮流提告再勒索？玩机率？点到为止？伪造一切！勒索？姑息：等着接孩子、孙子一根手指、一颗肾脏向你勒索、再来重视？把魔鬼养大了？恶魔岛取代科技岛？'] 0.982 46 None 0
78 ['电信、电脑入侵霸凌二年…·??'] 0.999 38 None 0
##################### -- 78 -- ##########################
79 duoli322 [12, 8, None, 4, 0]
79 ['大型魔幻舞台剧《黄粱梦》'] 0.406 8 None 0
79 ['良心企业家被指控9项大罪'] 0.963 29 None 0
79 ['中国人民天天过4月1日'] 0.688 1 None 0
79 ['中共政府是土匪流氓，抢劫强拆李焕君的房屋'] 1.0 16 None 0
79 ['中共政府土匪流氓抢劫李焕君财产，中共政府臭不要脸'] 1.0 16 None 0
79 ['采访被打压迫害致死的郭宏伟的85岁年迈父母，中国国内简直就是人间地狱。郭宏伟父亲郭阴起的联系方式：13179039308请多多关系'] 1.0 38 中国&地狱 0
79 ['炎热夏季降降温'] 0.096 10 None 0
79 ['2021年被北京丰台南苑乡石榴庄村霸村霸徐万超强拆10年无家可归，李焕君到中国驻美国华盛顿大使馆迎接新大使秦刚，上吊自杀!!'] 1.0 29 None 0
##################### -- 79 -- ##########################
80 dy26kdn4o1kx [12, 12, None, 7, 0]
80 ['【火爆又出来喽】???刚刚邮寄【1位顾客】28/6/2022你们猜猜看里面有多少瓶哈哈???????感谢顾客多多支持我家的【运王】山草药通血管丸等???重点是相信我家的山草药(价钱公道也可以(帮得到(救得到大家感恩多多??男，女，老，少没有吃补很快就没有健康哦知道吗大家???【老话一句】???还有还有等还有话说【大家要健康吗】你要健康首先你的血要干净保持血液循环你就有健康不然你的血越来越浓那你认为有健康吗你明白吗?【要不要健康就看你】?我介绍你吃我家的【运王】山草药通血管丸每天早上吃两粒?晚上吃两粒?你'] 1.0 34 None 0
80 ['【100%正品】试一试你就知道【SGS国际验证书】【运王】一药医百病，信不信由您来看???男，女，老，少都给你吃没有吃补很快就没有健康哦知道吗大家有些钱不可以省？???【0250540-K】??【运王】由100%纯天然山草药??制成能帮助通血管丸等来来来看看大家的健康?你要多关心家里人的健康哦?看看以下有没有家里人的病症?我来介绍我家的【运王】山草药通血管丸等等??能帮的到你们家里的人吗来想一想?还有我的山草药可以一家大小都能吃因为有补身作用?【老话一句?有病治病?没病吃补身有健康】【我家药师是第二代老'] 0.236 22 None 0
80 ['【火爆又出来喽】???刚刚邮寄【1位顾客】11/7/2022你们猜猜看里面有多少瓶哈哈???????感谢顾客多多支持我家的【运王】山草药通血管丸等???重点是相信我家的山草药(价钱公道也可以(帮得到(救得到大家感恩多多??男，女，老，少没有吃补很快就没有健康哦知道吗大家???【老话一句】???还有还有等还有话说【大家要健康吗】你要健康首先你的血要干净保持血液循环你就有健康不然你的血越来越浓那你认为有健康吗你明白吗?【要不要健康就看你】?我介绍你吃我家的【运王】山草药通血管丸每天早上吃两粒?晚上吃两粒?你'] 1.0 34 None 0
80 ['【100%正品】试一试你就知道【SGS国际验证书】【运王】一药医百病，信不信由您来看???男，女，老，少都给你吃没有吃补很快就没有健康哦知道吗大家有些钱不可以省？???【0250540-K】??【运王】由100%纯天然山草药??制成能帮助通血管丸等来来来看看大家的健康?你要多关心家里人的健康哦?看看以下有没有家里人的病症?我来介绍我家的【运王】山草药通血管丸等等??能帮的到你们家里的人吗来想一想?还有我的山草药可以一家大小都能吃因为有补身作用?【老话一句?有病治病?没病吃补身有健康】【我家药师是第二代老'] 0.236 22 None 0
80 ['【100%正品】试一试你就知道【SGS国际验证书】【运王】一药医百病，信不信由您来看???男，女，老，少都给你吃没有吃补很快就没有健康哦知道吗大家有些钱不可以省？???【0250540-K】??【运王】由100%纯天然山草药??制成能帮助通血管丸等来来来看看大家的健康?你要多关心家里人的健康哦?看看以下有没有家里人的病症?我来介绍我家的【运王】山草药通血管丸等等??能帮的到你们家里的人吗来想一想?还有我的山草药可以一家大小都能吃因为有补身作用?【老话一句?有病治病?没病吃补身有健康】【我家药师是第二代老'] 0.236 22 None 0
80 ['【100%正品】试一试你就知道【SGS国际验证书】【运王】一药医百病，信不信由您来看???男，女，老，少都给你吃没有吃补很快就没有健康哦知道吗大家有些钱不可以省？???【0250540-K】??【运王】由100%纯天然山草药??制成能帮助通血管丸等来来来看看大家的健康?你要多关心家里人的健康哦?看看以下有没有家里人的病症?我来介绍我家的【运王】山草药通血管丸等等??能帮的到你们家里的人吗来想一想?还有我的山草药可以一家大小都能吃因为有补身作用?【老话一句?有病治病?没病吃补身有健康】【我家药师是第二代老'] 0.236 22 None 0
80 ['【火爆又出来喽】???刚刚邮寄【1位顾客】6/8/2022??????感谢顾客多多支持我家的【运王】山草药通血管丸等???重点是相信我家的山草药(价钱公道也可以(帮得到(救得到大家感恩多多??男，女，老，少没有吃补很快就没有健康哦知道吗大家???【老话一句】???还有还有等还有话说【大家要健康吗】你要健康首先你的血要干净保持血液循环你就有健康不然你的血越来越浓那你认为有健康吗你明白吗?【要不要健康就看你】?我介绍你吃我家的【运王】山草药通血管丸每天早上吃两粒?晚上吃两粒?你的健康就在你们的手中哦加油你?'] 1.0 22 None 0
80 ['老话一句，一瓶在手，健康永远不会走???【不想生病就要买药来补一补身体哦好友们感恩】今天面交给你【三位老顾客】10/12/2022??????感谢顾客多多支持我家的【运王】山草药通血管丸等???重点是相信我家的山草药(价钱公道也可以(帮得到(救得到大家感恩多多??男，女，老，少没有吃补很快就没有健康哦知道吗大家???还有还有等还有话说【大家要健康吗】你要健康首先你的血要干净保持血液循环你就有健康不然你的血越来越浓那你认为有健康吗你明白吗?【要不要健康就看你】?我介绍你吃我家的【运王】山草药通血管丸每天早'] 0.999 34 None 0
80 ['老话一句，一瓶在手，健康永远不会走???【不想生病就要买药来补一补身体哦好友们感恩】今天邮寄给你【1位老顾客】10/12/2022??????感谢顾客多多支持我家的【运王】山草药通血管丸等???重点是相信我家的山草药(价钱公道也可以(帮得到(救得到大家感恩多多??男，女，老，少没有吃补很快就没有健康哦知道吗大家???还有还有等还有话说【大家要健康吗】你要健康首先你的血要干净保持血液循环你就有健康不然你的血越来越浓那你认为有健康吗你明白吗?【要不要健康就看你】?我介绍你吃我家的【运王】山草药通血管丸每天早'] 1.0 34 None 0
80 ['【100%正品】试一试你就知道有SGS国际验证书】?【老话一句，一瓶在手，健康永远不会走】?【不想生病就要买药来补一补身体哦好友们感恩】【运王】一药医百病，信不信由您来看???男，女，老，少都给你吃没有吃补很快就没有健康哦知道吗大家有些钱不可以省？???【0250540-K】??【运王】由100%纯天然山草药??制成能帮助通血管丸等来来来看看大家的健康?你要多关心家里人的健康哦?看看以下有没有家里人的病症?我来介绍我家的【运王】山草药通血管丸等等??能帮的到你们家里的人吗来想一想?还有我的山草药可以一家'] 0.224 22 None 0
80 ['老话一句，一瓶在手，健康永远不会走???【不想生病就要买药来补一补身体哦好友们感恩】今天邮寄给你【1位老顾客】19/12/2022??????感谢顾客多多支持我家的【运王】山草药通血管丸等???重点是相信我家的山草药(价钱公道也可以(帮得到(救得到大家感恩多多??男，女，老，少没有吃补很快就没有健康哦知道吗大家???还有还有等还有话说【大家要健康吗】你要健康首先你的血要干净保持血液循环你就有健康不然你的血越来越浓那你认为有健康吗你明白吗?【要不要健康就看你】?我介绍你吃我家的【运王】山草药通血管丸每天早'] 1.0 34 None 0
80 ['老话一句，一瓶在手，健康永远不会走???【不想生病就要买药来补一补身体哦好友们感恩】今天邮寄给你【2位老顾客买运王山草药通血管丸】【1位顾客买咖啡王一盒】21/12/2022?????????老话一句，一瓶在手，健康永远不会走???【不想生病就要买药来补一补身体哦好友们感恩】感谢顾客多多支持我家的【运王】山草药通血管丸等???重点是相信我家的山草药(价钱公道也可以(帮得到(救得到大家感恩多多??男，女，老，少没有吃补很快就没有健康哦知道吗大家???还有还有等还有话说【大家要健康吗】你要健康首先你的血要干'] 0.993 22 None 0
##################### -- 80 -- ##########################
81 dy3tpi6maojd [6, 6, None, 3, 0]
81 ['墙内资讯到底有多优秀啊，千错万错都是美国的错?'] 1.0 7 None 0
81 ['中华民国一直都在，不服就过来拿，不要废话那么多谢谢'] 1.0 16 中华民国 0
81 ['回复礼尚往来啰，麻烦你让我看看大唐护照，感谢'] 0.982 3 None 0
81 ['看清楚俄罗斯的真面目'] 0.874 1 None 0
81 ['回复嗯？然后呢？'] 0.765 46 None 0
81 ['1912年的中华民国才是陪伴我们抗日的母亲，执政党可以换，但国家绝对不能改，任何政党都应该拥护中华民国，维护中国任何领土，台独、陆独、共独都不应该，希望大家能了解谁在搞分裂，这就是历史。'] 0.999 45 中华民国 0
##################### -- 81 -- ##########################
82 dy5h5ilxrl8p [8, 6, None, 4, 0]
82 ['该闯红灯时就别犹豫意外总是来得那么快'] 0.174 29 None 0
82 ['圈围住台湾，只是加快被世界鄙弃的速度，当台湾生产的晶片无法安全准时的送达各国，受到谴责的不会是台湾，而是中国。你存在银行的钱确定还在银行吗？实弹军演一天花费需要多少？你生活还如意吗？'] 1.0 45 None 0
82 ['欧里桑很正确的说出多数台湾人的心声。封城解封了吗？用经费借机军演，除了可以大内宣外，顺带警告中国人，再吵，共产党有得是武力可以统治你们。没录声音，大家看字幕可以专心看懂。'] 1.0 14 None 0
82 ['杀人偿命我当然支持，但偿命的那一位你能确定就是行凶的罪嫌吗？用自己的观点乡愿式的疾声呼吁一定能帮你赢来许多掌声，那么执行枪决时就由你来操刀，如何？'] 0.99 38 None 0
82 ['这要是在高雄发生我看抖音早就被暖文暖爆了吧？'] 0.318 24 None 0
82 ['台湾人永远忘不了921地震世界各国救难队要帮助台湾却被“阻国”阻挡救援的事实。#香香肉圆'] 0.999 49 None 0
##################### -- 82 -- ##########################
83 dy7aumqkxhe5 [10, 5, None, 4, 0]
83 ['黄衣服是中国灰是中华民国'] 1.0 45 中华民国 0
83 ['中华民国火花军歌'] 1.0 45 中华民国 0
83 ['中华民国军歌黄埔军魂'] 0.999 16 中华民国 0
83 ['再见了猪神我们会想你的#CapCut'] 0.784 0 None 0
83 ['#CapCut如果台湾做出这样的事会发生什么事情'] 0.995 14 None 0
##################### -- 83 -- ##########################
84 dy9ypl65kq2s [17, 17, None, 10, 0]
84 ['歌词改编的真符合时事，唱出了许多人民的心声。'] 0.573 10 None 0
84 ['台湾人民改觉醒了，被那些的人管理不觉得倒楣吗？'] 0.999 14 None 0
84 ['台湾学者从未有人提出这观点，竟然是由大陆学者提出？'] 0.391 7 None 0
